Acc0,Acc1,Acc2,LinearAcc0,LinearAcc1,LinearAcc2,Gravity0,Gravity1,Gravity2,Gyro0,Gyro1,Gyro2,MagnetData0,MagnetData1,MagnetData2,Timestamp,dt
3.213012695,-10.30224609,5.518630981,-1.543852806,-6.055652142,-1.697896004,4.844053268,-4.324429512,7.348798275,-3.364074707,-1.402053833,2.874069214,-35.14099121,4.487609863,-20.95336914,22:12:19:998,0.020019531
4.158721924,-11.31739807,5.659896851,-0.524195671,-6.253057003,-1.076719284,4.763112545,-5.151068211,6.851980686,-3.598434448,-1.48727417,3.006164551,-33.94317627,13.58642578,-20.65887451,22:12:20:016,0.019989013
6.14352417,-12.39956665,6.09803772,1.714688778,-5.78318119,0.579796791,4.483439445,-6.6979599,5.586276531,-4.06288147,-1.587402344,2.746231079,-32.82928467,17.03186035,-17.17834473,22:12:20:056,0.020019531
6.02381897,-13.38838196,6.105209351,1.82848835,-6.082401752,1.262887001,4.233899593,-7.373146534,4.88683939,-4.279129028,-1.01109314,2.506546021,-31.52770996,22.65167236,-10.84289551,22:12:20:075,0.019989014
5.674255371,-13.95341492,5.803543091,1.800986052,-6.025784492,1.65687418,3.501722097,-8.494367599,3.428418159,-4.455963135,-0.319747925,2.372329712,-31.71234131,25.21514893,-9.234619141,22:12:20:118,0.020019531
4.735733032,-13.97735596,4.982330322,1.64537549,-5.057349205,2.316997528,3.089547396,-8.917669296,2.664634228,-4.732940674,0.870162964,2.062332153,-25.35705566,31.06994629,-4.344177246,22:12:20:137,0.019989014
3.524261475,-14.34126282,4.515457153,0.824596405,-5.071769714,2.630521536,2.691362143,-9.240984917,1.87913835,-4.784072876,1.315444946,1.848220825,-24.80621338,34.30480957,-2.10723877,22:12:20:176,0.020019532
2.523483276,-16.25901794,4.039016724,0.54337275,-6.561258316,3.728057384,1.960898638,-9.603668213,0.307942301,-4.563552856,1.823577881,1.702270508,-24.99694824,33.68377686,1.715087891,22:12:20:196,0.019989014
2.600097656,-15.22712708,3.569747925,0.932378292,-5.447902679,3.996696711,1.382591605,-9.64719677,-1.091061115,-4.224807739,1.753265381,1.642623901,-20.18280029,35.88409424,5.094909668,22:12:20:241,0.020019531
2.018310547,-13.49850464,2.420532227,0.848037243,-3.754504204,4.154522896,1.151557565,-9.588168144,-1.70625937,-3.453552246,1.010772705,1.360321045,-19.14978027,35.27069092,10.34851074,22:12:20:256,0.019989014
2.765304565,-12.90953064,3.778045654,2.015532017,-3.335017204,6.514173508,0.736307919,-9.402569771,-2.686991453,-2.565124512,0.53565979,1.215454102,-18.46313477,35.35614014,11.44714355,22:12:20:296,0.020019531
2.511520386,-12.13142395,3.801986694,1.917471647,-2.653793335,6.898676872,0.583240151,-9.305187225,-3.040346861,-2.107055664,0.433395386,1.00239563,-17.3538208,35.62316895,15.76690674,22:12:20:315,0.019989013
2.770095825,-9.931152344,3.287231445,2.345112324,-0.627246857,6.864045143,0.380133092,-9.146644592,-3.516356707,-1.298522949,0.446182251,0.688140869,-15.31524658,37.18261719,17.04711914,22:12:20:356,0.020019531
2.451660156,-9.217681885,3.289627075,2.124632359,0.015975952,7.015191078,0.321918577,-9.089402199,-3.667359829,-1.011962891,0.501571655,0.578414917,-14.51568604,33.85467529,18.50128174,22:12:20:377,0.019989014
2.585739136,-8.767562866,3.107681274,2.217293262,0.710763931,6.960695267,0.283463508,-9.033935547,-3.80500102,-0.412216187,0.719955444,0.390930176,-14.49127197,35.69946289,17.73223877,22:12:20:415,0.020019531
2.272094727,-8.190567017,2.980773926,1.974906683,0.943499565,6.821070671,0.294,-9.036082268,-3.799101114,-0.138442993,0.654968262,0.275878906,-15.46783447,35.42785645,17.84667969,22:12:20:437,0.019989014
2.231399536,-8.224090576,2.650375366,1.923809409,0.916930199,6.430679321,0.30479309,-9.057897568,-3.745927811,0.136383057,0.464294434,0.190658569,-14.05487061,34.46502686,16.56188965,22:12:20:457,0.020019532
2.966415405,-8.133102417,1.845932007,2.62903142,1.060180664,5.414208889,0.335311562,-9.136810303,-3.546357632,0.500701904,0.127670288,0.022354126,-14.83917236,36.38458252,15.86761475,22:12:20:497,0.019989013
2.920928955,-8.233657837,1.685516357,2.549559593,1.004141808,5.095617294,0.369580388,-9.193300247,-3.393674374,0.715896606,0.094650269,-0.078842163,-17.09136963,35.50872803,16.69921875,22:12:20:517,0.020019531
2.413360596,-9.555252075,1.216247559,1.928781867,-0.189195633,4.189063549,0.483011574,-9.335765839,-2.963201523,1.160110474,0.048843384,-0.25994873,-16.71447754,36.72027588,15.16113281,22:12:20:556,0.019989014
2.367858887,-10.86009216,1.031906128,1.817674041,-1.414931297,3.738171577,0.54828608,-9.412564278,-2.69692564,1.332687378,-0.26222229,-0.379257202,-15.61126709,36.87438965,13.07220459,22:12:20:577,0.020019532
